name,team
Hapoel Jerusalem,T
Maccabi Tel Aviv,T
Maccabi Haifa,T
Hapoel Eilat,T
Ironi Naharia,T
Bnei Herzliya,T
Hapoel Tel Aviv,T
Maccabi Rishon,T
Yochay Zuckerman,F
Lior Eliyahu,F
Yotam Halperin,F
Bar Timor,F
Rafi Menco,F
Igor Mayor,F
Dagan Yivzori,F
Itai Segev,F
Guy Pnini,F
Yogev Ohayon,F
Idan Paz,F
Yovel Zoosman,F
Gal Mekel,F
Nir Sarid,F
Gilad Karni,F
Netanel Artzi,F
Tal Aviram,F
Oz Blayzer,F
Amit Shimhon,F
Aafik Nissim,F
Elishay Kadir,F
Alon Sapir,F
Matan Davidi,F
Ram Elias-Pour,F
Uri Kokia,F
Eran Asante,F
Niv Berkovitz,F
Tom Slutsky,F
Roi Navvaro,F
Tamir Daniel,F
Karam Mashour,F
Moran Roth,F
Aviram Zelikovits,F
Yiftach Ziv,F
Tamir Blatt,F
Robert Rothanbart,F
Jonathan Rabinowitz,F
Matan Naor,F
Raviv Limonad,F
Tsuf Ben Moshe,F
Omer Shoshani,F
Daniel Aidan,F
Noam Hason,F
Dor Wachner,F
Nitzan Hanochi,F
Golan Gutt,F
Shawn Dawson,F
Avi Ben Chimol,F
Idan Zalsman,F
